Object Name,RA,DEC,Redshift z,Heliocentric Velocity,Magnitude,Associations
WISEA J130242.24+282053.5,195.67621,28.34816,0.023875,7158,19.64,0
WISEA J125835.13+273752.8,194.64637,27.63145,0.017346,5200,19.65,0
SDSS J125947.14+273619.9,194.94649,27.60554,0.025047,7509,19.65,0
WISEA J125537.57+272029.0,193.9066,27.34141,0.024536,7356,19.66,0
WISEA J130032.62+280331.6,195.1359,28.05871,0.0246,7375,19.66,0
SDSS J130249.94+281945.0,195.70809,28.32917,0.020781,6230,19.66,0
WISEA J130328.00+284529.1,195.86667,28.75823,0.027766,8324,19.66,0
WISEA J130353.82+282627.0,195.97444,28.44079,0.01718,5150,19.67,0
WISEA J125744.97+270919.4,194.43747,27.15544,0.025421,7621,19.68,0
WISEA J130158.34+284030.8,195.49308,28.67531,0.023702,7106,19.68,0
WISEA J125323.09+275508.8,193.34619,27.91908,0.027926,8372,19.69,0
WISEA J125758.20+274030.1,194.49256,27.67506,0.017857,5353,19.69,0
SDSS J130505.39+273537.6,196.27249,27.59381,0.020549,6160,19.69,0
WISEA J125653.74+263821.7,194.22396,26.63964,0.022977,6888,19.7,0
SDSS J125739.49+280330.4,194.41459,28.05843,0.023257,6972,19.71,0
WISEA J125708.16+274807.9,194.28409,27.8021,0.022296,6684,19.73,0
